"name","id","id_link","profile_pic_link","description"
"Saket Modi","@SaketModi_","https://twitter.com/SaketModi_","https://pbs.twimg.com/profile_images/1417597629010042881/RPVfzZqj_normal.png","Co Founder & CEO 
@SafeCRQ"
"Modi Story","@themodistory","https://twitter.com/themodistory","https://pbs.twimg.com/profile_images/1505855703017492480/LSutlmC__normal.jpg","An initiative to bring forward Narendra Modi’s inspiring life story, through the eyes of those who have caught a glimpse into his life."
"Narendra Modi fan","@narendramodi177","https://twitter.com/narendramodi177","https://pbs.twimg.com/profile_images/1570833916260683776/aBtZzZd__normal.jpg","Prime Minister of India Fan Page Club."
"NarendraModi App","@NamoApp","https://twitter.com/NamoApp","https://pbs.twimg.com/profile_images/1177141415974850560/jt-K71d0_normal.png","Official App of PM of India, Narendra Modi. It brings to you latest information, instant updates & helps you contribute towards various tasks"
"Modi Army","@Modiarmy","https://twitter.com/Modiarmy","https://pbs.twimg.com/profile_images/1554730727903637504/JlHDGw6u_normal.jpg","Army of Prime Minister 
@narendramodi
 || We are Proud Hindu || Modi ji for 2024 || Queries are always welcome ||"
"ഭീമസേനൻ - The diehard supporter of PM NarendraModi","@IndianPatriotOM","https://twitter.com/IndianPatriotOM","https://pbs.twimg.com/profile_images/1213171592768847873/kgOZmY2x_normal.jpg","One India n India First  ലോകസമസ്ത: സുഖിനോ ഭവന്തു: , മൊട കണ്ടാ എടപെടും ! സാഹിത്യ കുതുകി, പുസ്തക പ്രിയൻ, ധർമ്മ രക്ഷകൻ ! മനുഷ്യ സ്നേഹി....ഗദായുദ്ധ പ്രിയൻ "
"Narendra Modi Fan Club India","@narendramodi2O","https://twitter.com/narendramodi2O","https://pbs.twimg.com/profile_images/1194910044317339649/iceEskOt_normal.jpg"," Largest Fan Club of 
@narendramodi
 ji  Modi Once Again in 2024   Dm to share your post. #EkBarPhirModiSarkar #NarendraModi #NarendraModi"
"Followed by Narendra Modi","@i_gauravvsoni","https://twitter.com/i_gauravvsoni","https://pbs.twimg.com/profile_images/1584095991971532801/fqOnmolB_normal.jpg","Fan of our Hon. PM Shri 
@narendramodi
 Ji, ABVP, Social Media Activist, founder Member of Sevak Foundation 
@SEVAK_F
 
@Igauravvsoni"
"Saket Modi","@SaketModi_","https://twitter.com/SaketModi_","https://pbs.twimg.com/profile_images/1417597629010042881/RPVfzZqj_normal.png","Co Founder & CEO 
@SafeCRQ"
"Modi Story","@themodistory","https://twitter.com/themodistory","https://pbs.twimg.com/profile_images/1505855703017492480/LSutlmC__normal.jpg","An initiative to bring forward Narendra Modi’s inspiring life story, through the eyes of those who have caught a glimpse into his life."
"MODI","@MODI_COMEDIAN","https://twitter.com/MODI_COMEDIAN","https://pbs.twimg.com/profile_images/1425104819400892418/UmXb43lo_normal.jpg","Comedian/Actor living in NYC. Appearances on Netflix, HBO, Comedy Central. Booking inquiries: info@modilive.com"
"Followed by Narendra Modi","@pragnik","https://twitter.com/pragnik","https://pbs.twimg.com/profile_images/807229750670282754/hH6i2kq9_normal.jpg","Developmental Economist. Only bothered about bringing up the bottom 5 Billion people of globe. I support Narendra Modi for this reason. RTs not endorsements."
"Followed by Narendra Modi","@Modi4PMAgain","https://twitter.com/Modi4PMAgain","https://pbs.twimg.com/profile_images/1290135419380613122/JlNCiX1e_normal.jpg","Fully awake while on duty.. sleep with one eye open..as for every minute spent in organising an hour is earned #Factbased भारत सर्व प्रथम!!"
"Narendra Modi Army","@ModiKaBhaktHoon","https://twitter.com/ModiKaBhaktHoon","https://pbs.twimg.com/profile_images/1175869290198622208/IHM1AOP3_normal.jpg","Shri Narendra Modi.. Proud to Be a Modi Bhakt.."
"Followed by Narendra Modi","@BJPPath","https://twitter.com/BJPPath","https://pbs.twimg.com/profile_images/472323758540075009/Pnfr7tuf_normal.jpeg","Blog Born 2010. With BJP 1985 On. Dreamt #Modi Ji As 
@PMOIndia
. Influencer #SocialMedia Polls 2019, 2014,2009. PM 
@narendramodi
 Ji Follows. Private Initiative"
"#modi_job_do","@Rohit86116617","https://twitter.com/Rohit86116617","https://pbs.twimg.com/profile_images/1364869886749536269/WBb4qpEZ_normal.jpg","#modi_jawab_do#modi_rojgar_do#modi_rojgar_दो#speakup#RRBExamKarao #RailwayJago #NTPC2019 #railwayexamlenahoga"
"The Modi Fan","@iModiFan1","https://twitter.com/iModiFan1","https://pbs.twimg.com/profile_images/1553020203717771264/egITyDUQ_normal.jpg","Ardent fan of Hon'ble PM Shri Narendra Modi Ji"
"Neena Modi","@NeenaModi1","https://twitter.com/NeenaModi1","https://pbs.twimg.com/profile_images/1206992660852023302/LbugmJUP_normal.jpg","Professor of Neonatal Medicine, Imperial College London; Past-President BMA, MWF, RCPCH; Neonatal Society; President-Elect EAPM; My views #HealthIsNotACommodity"
"Asit Kumarr Modi","@AsitKumarrModi","https://twitter.com/AsitKumarrModi","https://pbs.twimg.com/profile_images/558525689196859392/zqpwsWj6_normal.jpeg","Creator of TV show Taraak Mehta Ka Ooltah Chashmah 
@TMKOC_NTF
. PM's Swachh Bharat Ambassador. Writer,Director,Producer, Explorer,Student Of Politics."
"Followed by Narendra Modi","@ModiBharosa","https://twitter.com/ModiBharosa","https://pbs.twimg.com/profile_images/1559858248270118917/dvga4FmH_normal.png","Trust and Hope in One Name, One Person. We have Trust in PM Modi. We are ModiBharosa"
"Followed by Narendra Modi","@kktotlani","https://twitter.com/kktotlani","https://pbs.twimg.com/profile_images/1559435104136470531/8kjUrHZM_normal.jpg","http://Retd.Sr.Executive PSB,Hindu Nationalist, Always India 1st, Modi Fan,Arnab's Fan.SportsLover.Humbled to be followed by our PM 
@narendramodi
 
@nsitharamanof"
"Plaid","@Plaid_NModi","https://twitter.com/Plaid_NModi","https://pbs.twimg.com/profile_images/560162219933958144/ZugH5TyH_normal.jpeg","The Plaid Avenger's updates for Indian Prime Minister Narendra Modi. (parody account) (FAKE!!)"
"Corona Warrior Narendra Modi","@ModiOnceMore","https://twitter.com/ModiOnceMore","https://pbs.twimg.com/profile_images/1080704430553657344/rydferR6_normal.jpg","#IndiaWithModi #ModiOnceMore http://t.me/ModiOnceMore19"
"Modi-Fied Andaman","@MF4AN","https://twitter.com/MF4AN","https://pbs.twimg.com/profile_images/1567958884798853120/zCMWSROQ_normal.jpg","Sabka Sath, Sabka Vikas, Sabka Vishwaas aur Sabka Prayas...... Andaman towards Modi-fication..."
"I am Modi  आकाश  Aakash ","@iAakash_Agarwal","https://twitter.com/iAakash_Agarwal","https://pbs.twimg.com/profile_images/1559354765473001472/wMrilDli_normal.jpg","आत्मा नहीं आवरण बदलता हुँअपने मन का मालिक मैंमूडTwtrबदलता हैचलता अकेला हुँDetached-In-Attachedसबका साथ-विकाश-विश्वासLike=Read
@iA_A_"
"Lalit Modi Fan Club","@LalitmodiFC","https://twitter.com/LalitmodiFC","https://pbs.twimg.com/profile_images/3046829256/89db1cfeeb41b2c12a8a47a4c9460861_normal.jpeg","A staunch LALIT MODI fan, believes in all HE does,says and thinks!!Believes in his MAGICAL POWERS!! KNOWS HE WILL BE BACK!!! He “Said so” and Said ALL TRUTH”"
"Followed by Narendra Modi","@virajwrites","https://twitter.com/virajwrites","https://pbs.twimg.com/profile_images/1572957921495121923/he0o2Vbe_normal.jpg","Tech | Current Affairs | BJP | Honoured to be followed by PM Narendra Modi 
@narendramodi
 "
"Followed by Narendra Modi","@IT4NaMo","https://twitter.com/IT4NaMo","https://pbs.twimg.com/profile_images/579297634562658304/F7_aS3Md_normal.jpg","Information Technology Platform to support PM 
@narendramodi
 in #NortheastIndia. RTs are not Endorsement!"
"I am Modi  आकाश  Aakash ","@iAakash_Agarwal","https://twitter.com/iAakash_Agarwal","https://pbs.twimg.com/profile_images/1559354765473001472/wMrilDli_normal.jpg","आत्मा नहीं आवरण बदलता हुँअपने मन का मालिक मैंमूडTwtrबदलता हैचलता अकेला हुँDetached-In-Attachedसबका साथ-विकाश-विश्वासLike=Read
@iA_A_"
"Lalit Modi Fan Club","@LalitmodiFC","https://twitter.com/LalitmodiFC","https://pbs.twimg.com/profile_images/3046829256/89db1cfeeb41b2c12a8a47a4c9460861_normal.jpeg","A staunch LALIT MODI fan, believes in all HE does,says and thinks!!Believes in his MAGICAL POWERS!! KNOWS HE WILL BE BACK!!! He “Said so” and Said ALL TRUTH”"
"Followed by Narendra Modi","@virajwrites","https://twitter.com/virajwrites","https://pbs.twimg.com/profile_images/1572957921495121923/he0o2Vbe_normal.jpg","Tech | Current Affairs | BJP | Honoured to be followed by PM Narendra Modi 
@narendramodi
 "
"Followed by Narendra Modi","@IT4NaMo","https://twitter.com/IT4NaMo","https://pbs.twimg.com/profile_images/579297634562658304/F7_aS3Md_normal.jpg","Information Technology Platform to support PM 
@narendramodi
 in #NortheastIndia. RTs are not Endorsement!"
"Followed by Narendra Modi","@trustnamo","https://twitter.com/trustnamo","https://pbs.twimg.com/profile_images/1554339561651961856/vE_5Ps92_normal.jpg","Followed by Hon'ble Prime Minister Shri 
@narendramodi
. Fan of Hon'ble Narendra Modi. #Haryana #Haryanvi"
"Followed by Narendra Modi","@drnileshmodi","https://twitter.com/drnileshmodi","https://pbs.twimg.com/profile_images/1076454189532729345/-cP9k4tm_normal.jpg","Cyber Security Expert | PhD - Cyber Security, CEH | Proud to get followed by Hon. Prime Minister Shri 
@narendramodi
 
@narendramodi_in
 | Hindu Nationalist"
"Followed by Narendra Modi","@purneshmodi","https://twitter.com/purneshmodi","https://pbs.twimg.com/profile_images/1565992824218169344/J7KOvXU0_normal.jpg","167-MLA Surat West Ex.cabinet minister Transport,Civil Aviation,Tourism and Pilgrimage Dev. Govt.Of Gujarat,Parliamentary Secretary,Ex-President 
@bjp4suratcity"
"Tanvi Modi","@TanviModi","https://twitter.com/TanviModi","https://pbs.twimg.com/profile_images/833614238618906624/rYC71z4c_normal.jpg"," Producer | COO - Epigram/Polaris Talent Management/Epilogue Entertainment Kindness & success are not mutually exclusive Miss U Toronto #Bluejays fan"
"Heena Modi Ⓥ ","@PlantShift","https://twitter.com/PlantShift","https://pbs.twimg.com/profile_images/815678689811767296/bQu5UkIo_normal.jpg","Coaching to make the shift to a vegan diet or lifestyle fun, light, effortless & positive. Harmonising our thoughts, words & behaviour. love  living  vegan"
"Ruchir Kumar Modi","@RuchirLModi","https://twitter.com/RuchirLModi","https://pbs.twimg.com/profile_images/849979768799940608/FP2rjj1i_normal.jpg","Director- Godfrey Phillips India Ltd, Modi Enterprises, Modicare• Founder & CEO Modi Ventures • Brand Head- FTV India"
"modi!","@supermodi","https://twitter.com/supermodi","https://pbs.twimg.com/profile_images/1465200006432919553/FbqtrnMp_normal.jpg","HEATING UP!  | 
@defjam
  |  
@nike
 
@redbull
 
@trillectro
 & lots of other fun adventures "
"Modi_job_do","@SpeakSSCrailway","https://twitter.com/SpeakSSCrailway","https://pbs.twimg.com/profile_images/1300041742473859076/gr_s3wMm_normal.jpg","SpeakUpForSSCRailwayStudents@gmail.com #modi_rojgar_do #modi_job_do जब सभी के मन की बात एक जगह आ जाए तो सरकार को जवाब देना ही पड़ेगा"
"Vote for BJP ","@narendramodiS2","https://twitter.com/narendramodiS2","https://pbs.twimg.com/profile_images/1575434929940627456/9yGj9VDs_normal.jpg","Next Mission Hindu Rashtra"
"modistory.in","@ModiStory_in","https://twitter.com/ModiStory_in","https://pbs.twimg.com/profile_images/1508404361440886787/mtGNRJgR_normal.jpg","Modi Story is an initiative to bring forward Narendra Modi's inspiring life story"
"PM Modi News","@PMModiNews","https://twitter.com/PMModiNews","https://pbs.twimg.com/profile_images/1566011590977396736/GRffp6jo_normal.jpg","Ai Powered Latest News about Indias most loved Prime Minister Mr. Narendra Modi from multiple Sources. #NamoNews"
"I support PM Modi","@GhoshDhrubajit","https://twitter.com/GhoshDhrubajit","https://pbs.twimg.com/profile_images/1591848712958930944/LBZ9e1P1_normal.jpg","Lawyer at Heart. Pre 2014 victim of conspiracy n ganging up politcs in Govt.. Green Planet=PM Modi"
"Ashok Mishra Followed by @narendramodi Ji","@87allahabad","https://twitter.com/87allahabad","https://pbs.twimg.com/profile_images/1554705377010130944/GcYcIch8_normal.jpg","im the biggest fan of PM narendra modi jai hind "
"India_Israel","@ModiInIsrael","https://twitter.com/ModiInIsrael","https://pbs.twimg.com/profile_images/889443253145260035/yuI73L8h_normal.jpg","Commemorative account to mark PM 
@NarendraModi
's visit to Israel [campaign a/c powered by 
@Indians4Israel
 team] #ModiInIsrael"
"Followed by Narendra Modi","@prasanta_verma","https://twitter.com/prasanta_verma","https://pbs.twimg.com/profile_images/1586614473359388672/mzgFuBTh_normal.jpg","অসমীয়া , Student of B.A. (English Literature) , Author , Book Lover , Literature , Journalism .  Followed by PM Modi (
@narendramodi
)."
"Chowkidar ForNarendraModi","@Asha71752138","https://twitter.com/Asha71752138","https://pbs.twimg.com/profile_images/1115923511397232640/06YZa1ln_normal.jpg","Vote For NarendraModi हर हर मोदी घर घर मोदी #SankalpHamaraModiDobara Proud NarendraModi* Bhakth"
"The Modi Era ","@TheModiEra","https://twitter.com/TheModiEra","https://pbs.twimg.com/profile_images/482187048913088513/lThx-xyS_normal.png","#SM #MSM Commentary on PM #NarendraModi's two terms in office. #TheModiEra, #DynastyFreeIndia . Handle by 
@VVSNair
 OSV 85."
"Shaun Modi","@ShaunModi","https://twitter.com/ShaunModi","https://pbs.twimg.com/profile_images/1169139901452996609/T_4F1TNC_normal.jpg","CEO, 
@usecapitol
 // Prev. 
@wearetmsf
 // 
@Airbnb
 // 
@Google
 // 
@NASA
 // Investor // Dad"
"Followed by Narendra Modi","@rajesh188","https://twitter.com/rajesh188","https://pbs.twimg.com/profile_images/1555984170639192064/8m7cW0Wx_normal.jpg","#ModiOnceMore Member of NMYO (Narendra Modi Youth Organization) diehard fan of Narendra Bhai Damodardas Modi ji, i want to see Modi ji as PM in 2014."
"ANNY T. MODI","@annytenga","https://twitter.com/annytenga","https://pbs.twimg.com/profile_images/1582634768814018560/-gX3TgyF_normal.jpg","Women's Rights|Proud mother| Feminist. #WomenPeaceAmbassador #ED 
@afiamama
 #Board 
@strongAdvocacy
 
@AWLN_RDC
 
@CentreOdas
 
@FDEC_243
 
@wphfund
 #DRC"
"Konark Modi","@konarkmodi","https://twitter.com/konarkmodi","https://pbs.twimg.com/profile_images/2566211375/IMG_5375_normal.JPG","Data Security & Privacy Advocate | Exec. Advisor 
@HolidayCheckGrp
 | Ex-Cliqz, Ex-MMYT. DM’s open or email me at id@domain where id=modi.konark, domain=http://gmail.com"
"Chowkidar ForNarendraModi","@Asha71752138","https://twitter.com/Asha71752138","https://pbs.twimg.com/profile_images/1115923511397232640/06YZa1ln_normal.jpg","Vote For NarendraModi हर हर मोदी घर घर मोदी #SankalpHamaraModiDobara Proud NarendraModi* Bhakth"
"The Modi Era ","@TheModiEra","https://twitter.com/TheModiEra","https://pbs.twimg.com/profile_images/482187048913088513/lThx-xyS_normal.png","#SM #MSM Commentary on PM #NarendraModi's two terms in office. #TheModiEra, #DynastyFreeIndia . Handle by 
@VVSNair
 OSV 85."
"Shaun Modi","@ShaunModi","https://twitter.com/ShaunModi","https://pbs.twimg.com/profile_images/1169139901452996609/T_4F1TNC_normal.jpg","CEO, 
@usecapitol
 // Prev. 
@wearetmsf
 // 
@Airbnb
 // 
@Google
 // 
@NASA
 // Investor // Dad"
"Followed by Narendra Modi","@rajesh188","https://twitter.com/rajesh188","https://pbs.twimg.com/profile_images/1555984170639192064/8m7cW0Wx_normal.jpg","#ModiOnceMore Member of NMYO (Narendra Modi Youth Organization) diehard fan of Narendra Bhai Damodardas Modi ji, i want to see Modi ji as PM in 2014."
"ANNY T. MODI","@annytenga","https://twitter.com/annytenga","https://pbs.twimg.com/profile_images/1582634768814018560/-gX3TgyF_normal.jpg","Women's Rights|Proud mother| Feminist. #WomenPeaceAmbassador #ED 
@afiamama
 #Board 
@strongAdvocacy
 
@AWLN_RDC
 
@CentreOdas
 
@FDEC_243
 
@wphfund
 #DRC"
"Konark Modi","@konarkmodi","https://twitter.com/konarkmodi","https://pbs.twimg.com/profile_images/2566211375/IMG_5375_normal.JPG","Data Security & Privacy Advocate | Exec. Advisor 
@HolidayCheckGrp
 | Ex-Cliqz, Ex-MMYT. DM’s open or email me at id@domain where id=modi.konark, domain=http://gmail.com"
"ChuckModi","@ChuckModi1","https://twitter.com/ChuckModi1","https://pbs.twimg.com/profile_images/1279561890256035843/M473ScA0_normal.jpg","Justice Journalist. Youth Advocate. Sportswriter. B4 Elon suspends me, you can find me at IG at 
@chuckmodi1
; just joined Mastodon @chuckmodi1@kolektiva.social"
"Modi Bhakt Joker","@Agent0fChaos_","https://twitter.com/Agent0fChaos_","https://pbs.twimg.com/profile_images/1291035662305513473/Mg9fae_N_normal.jpg","Modi ji ne kiya hai to kuchh sonch ke hi kiya hoga......"
"Followed by Narendra Modi","@abhinavshukla48","https://twitter.com/abhinavshukla48","https://pbs.twimg.com/profile_images/1604755484820803584/1tyHQteR_normal.jpg","Student | Blessed to be followed by PM 
@narendramodi
 ji | Proud Indian Hindu | Nationalist | Firm believer of Modi Ji's policies | Godly | हर हर महादेव |"
"Sunami modi","@riddhibalotra","https://twitter.com/riddhibalotra","https://pbs.twimg.com/profile_images/1323901348715261954/8JnSW41f_normal.jpg","born for modi and die for modi,भारत माता की जय SALUTE TO MY INDIAN ARMY,LOVE AJIT DOBAAL I AM ASHAMED OF BOLLYWOOD"
"Sandeep Modi","@sandeep_modi","https://twitter.com/sandeep_modi","https://pbs.twimg.com/profile_images/950789280842047488/vYcIY5F8_normal.jpg","Film-maker, National Award 15', Adfilmmaker, Co Creator & Director - Aarya (S1), Director - Chumbak, Amateur optimist, Professional dreamer!"
"Modi Brigade","@ModiBrigade_Ind","https://twitter.com/ModiBrigade_Ind","https://pbs.twimg.com/profile_images/1207119444842991616/DgtqD6ju_normal.jpg","Official Twitter Account of team "Modi Brigade" Follow us and get the latest updates of good governance by PM Modi."
"PMO Office INDIA","@PMO_NaMo","https://twitter.com/PMO_NaMo","https://pbs.twimg.com/profile_images/1258675799177064448/_3a-lKC0_normal.jpg","From #PMOIndia office 24/7. Prime Minister of India Shri. #NarendraModi Ji Every Indian Must Follow !! #NaMo 
@Narendramodi
 #BJP #NarendraModi Army ! "
"My First Vote For Modi","@myfirstvote2019","https://twitter.com/myfirstvote2019","https://pbs.twimg.com/profile_images/1105065664384036865/pXjkkIep_normal.jpg","Offical Twitter Handle Of My First Vote For Modi 2019"
"Team Modi Tamilnadu | மோடி அணி","@TeamModiTN","https://twitter.com/TeamModiTN","https://pbs.twimg.com/profile_images/1095306658450878464/TZk4Uj-8_normal.jpg","Official Twitter Page of Team Modi Tamilnadu. #TeamModi #TeamModiTN"
"Dr Vikas kumar Modi","@vikaskumarmodi","https://twitter.com/vikaskumarmodi","https://pbs.twimg.com/profile_images/1594622421440466944/qIgGcPsX_normal.jpg","CHAIRMAN - Goods Carrying Cargo Pvt Ltd / SENSE ENTERTAINMENTS Pvt Ltd - Production House, Bollywood key Producers, Label Records"
"Dilip Modi","@IamDilipModi","https://twitter.com/IamDilipModi","https://pbs.twimg.com/profile_images/1554714137720025091/ZMu3-jId_normal.jpg","Chairman - DiGiSPICE Technologies and Founder - Spice Money Empowering businesses and consumers through digital technologies"
"Samir Modi","@samirmodi","https://twitter.com/samirmodi","https://pbs.twimg.com/profile_images/1605772460183298048/Ae9NqlcJ_normal.jpg","Make-up, Gadget Buff, Innovator, creator of Soch Badlo movement, creative and out of the box thinker. believes in ‘Soch Badlo, Duniya Badlo, Khudhko Badlo’."
"Fulani Bororo Almajiri Modi","@modiabba","https://twitter.com/modiabba","https://pbs.twimg.com/profile_images/1506376590808256516/MiRutixk_normal.jpg","Do not judge me till you know me. Don't talk about me until you have talked to me. Don't underestimate me until you challenge me. #Abusite"
"Modi-fied Indian","@ROFL_India","https://twitter.com/ROFL_India","https://pbs.twimg.com/profile_images/1187436855836364800/7hZ1YQf7_normal.jpg","Sadist, Entertainer, Genius, Billionaire, Philanthropist…"
"પત્રકાર તેજશ મોદી Journalist Tejash Modi","@TejashModiLive","https://twitter.com/TejashModiLive","https://pbs.twimg.com/profile_images/1474294674227560449/U0LHn-ff_normal.jpg","#LoveUTejal #MissUTejal;Born 4 & Die with #Journalism; Owner of 
@goojjoos
 work with 
@DDNewsGujarati
 
@Zee24Kalak
 
@PTI_News
; 
@OfficeOfTejash
 T&R/T not endorseme"
"I Am Modi ","@Chanakya_Neethi","https://twitter.com/Chanakya_Neethi","https://pbs.twimg.com/profile_images/1559391621484908544/o-2KF0sI_normal.jpg","Likes and RT aren't Endorsements. Chathrapathi Shiv Modi Bhakth. Sena for Akand Bharath. All Hindu Right to express is the last Right to be used in Twitter"
"Deepak Modi","@DeepakNModi","https://twitter.com/DeepakNModi","https://pbs.twimg.com/profile_images/1607250483063947267/V9QuaIA-_normal.jpg","Developmental biologist, embryo implantation, placentation and sex determination 
@TEdx
 speaker 
@FIRbees
 
@icmrnirrh
 #InHoxWeTrust "
"Ramesh Modi","@RameshPModi","https://twitter.com/RameshPModi","https://pbs.twimg.com/profile_images/1456907527044489222/jREYg-0a_normal.jpg","Consulting Editor at 
@bollybubble
. Views are Personal."
"beeeeerrrrr","@Modi3pointO","https://twitter.com/Modi3pointO","https://pbs.twimg.com/profile_images/1554843740841611265/3KBewbsi_normal.jpg","|Tax Payer|Proud Hindu|Modi Bhakt|ಕನ್ನಡಿಗ| blocked by 
@bdutt
, 
@Sanjukta
, 
@bainjal
, Nagma Ria,KRK,
@mehtahansal
 
@nidhi
 
@rohini_sgh
 
@lambaalka"
"Followed by Narendra Modi","@arvindpalla","https://twitter.com/arvindpalla","https://pbs.twimg.com/profile_images/1373674186447581187/6F-VLqPX_normal.jpg","Indian,Founder-ReyconBuildTech PVTLTD.Honoured to be Followed By Honourable PM of IndiaShri Modi JiFan of 
@Sachin_rt
 
@narendraModi
 
@pawankalyan"
